timestamp,open,high,low,close,volume,vwap,transactions,otc
1738213200000,19.86,19.9,18.04,19.9,20,19.184,20,
1738299600000,20.83,22.0,18.44,18.71,404,20.8651,68,
1738558800000,15.3,17.69,14.77,16.97,224,16.3023,82,
1738645200000,17.64,18.21,17.64,18.01,226,17.8989,28,
1738731600000,16.95,18.77,16.95,18.77,50,18.304,20,
1738818000000,19.39,19.5,18.57,18.85,74,19.2208,38,
1738904400000,19.81,20.2,17.04,17.04,96,18.2002,44,
1739163600000,18.0,18.95,18.0,18.95,47,18.5972,11,
1739250000000,18.6,19.01,18.17,18.75,744,18.4656,88,
1739336400000,16.58,18.36,16.58,18.33,162,17.7721,24,
1739422800000,18.2,20.84,18.2,20.84,362,20.4606,68,
1739509200000,20.83,21.05,20.82,20.99,200,20.9757,16,
1739854800000,21.05,21.05,20.52,20.55,28,20.7393,20,
1739941200000,20.56,21.94,20.56,21.41,104,21.3446,36,
1740027600000,21.21,21.21,19.46,20.1,333,20.6578,55,
1740114000000,20.3,20.3,16.09,16.17,578,17.1386,98,
1740373200000,16.91,16.91,14.94,14.94,248,15.8715,82,
1740459600000,14.65,14.71,12.75,13.99,472,13.4048,80,
1740546000000,15.35,15.51,13.39,13.77,234,14.194,32,
1740632400000,14.4,14.44,11.14,11.2,1710,12.4151,125,
1740718800000,11.2,13.4,10.51,13.4,1466,11.3303,180,
1740978000000,14.37,14.37,10.12,10.12,403,11.3277,94,
1741064400000,9.9,10.41,8.25,9.16,976,9.1329,172,
1741150800000,8.99,10.54,8.39,10.31,506,9.4842,138,
1741237200000,8.68,9.84,7.98,8.65,1778,8.9387,246,
1741323600000,7.82,8.84,6.83,8.52,1147,7.8957,147,
1741579200000,7.15,7.25,5.19,5.81,1040,6.2384,176,
1741665600000,5.53,5.82,4.7,5.28,950,5.1511,142,
1741752000000,5.73,5.73,5.05,5.1,97,5.4667,41,
1741838400000,5.01,5.04,3.92,4.17,1154,4.2321,166,
1741924800000,4.51,5.36,4.43,5.34,1506,4.786,162,
1742184000000,5.23,6.04,5.19,5.5,154,5.684,56,
1742270400000,5.07,5.11,4.51,4.72,1258,4.7039,104,
1742356800000,4.75,5.74,4.75,5.5,250,5.376,70,
1742443200000,4.97,5.52,4.79,5.0,124,5.0998,42,
1742529600000,4.29,4.67,4.01,4.67,226,4.2959,66,
1742788800000,5.49,6.22,5.49,6.16,574,5.9421,106,
1742875200000,6.3,6.37,5.89,6.2,1720,6.2225,66,
1742961600000,6.19,6.31,4.97,5.18,110,5.7711,70,
1743048000000,4.89,5.32,4.7,4.75,200,4.9492,84,
1743134400000,4.34,4.5,3.32,3.51,738,3.5904,124,
1743393600000,3.0,3.9,2.79,3.84,504,3.0277,146,
1743480000000,3.65,4.26,3.42,3.61,122,3.9256,68,
